,Unnamed: 0,Code,2012/13,income_decile,postcode,overcrowding,lat,long,deprivation_y
1560,2128,E01002106,51400,7,HA3 7LG,7,51.603155,-0.32572199999999996,8
1561,1940,E01001921,73170,10,SW6 2DA,7,51.478745,-0.193473,5
1562,1942,E01001923,73090,10,SW6 2AA,7,51.476659000000005,-0.191673,6
1563,3114,E01003085,50900,7,SE270DD,7,51.428413,-0.10569400000000001,5
1564,85,E01000087,39640,2,RM109DG,7,51.530136,0.154396,2
1565,488,E01000486,48550,6,HA9 9PJ,7,51.571290000000005,-0.286662,6
1566,4540,E01004484,64960,9,SW129HD,7,51.442082,-0.149034,4
1567,4194,E01004152,47050,5,SM2 5AD,7,51.358926000000004,-0.191055,5
1568,1095,E01001095,50030,6,CR2 0AY,7,51.346677,-0.10340899999999999,5
1569,4605,E01004549,66200,9,SW177DD,7,51.437989,-0.164981,5
1570,2305,E01002283,37440,1,RM3 9JN,7,51.603081,0.234906,3
1571,3001,E01002973,41780,3,KT1 3PY,7,51.40728,-0.27880900000000003,4
1572,2138,E01002116,52090,7,HA8 6LU,7,51.610439,-0.288279,9
1573,2237,E01002216,45560,5,HA2 9DS,7,51.565419,-0.36942600000000003,8
1574,1640,E01001645,44820,4,SE3 8DN,7,51.471752,0.039329,4
1575,4542,E01004486,63760,9,SW129HG,7,51.438108,-0.146818,5
1576,3005,E01002977,45880,5,KT3 5LB,7,51.385471,-0.256791,5
1577,1163,E01001163,47050,5,SE193BF,7,51.418119,-0.101417,6
1578,1604,E01001600,50570,6,SE9 2AB,7,51.437738,0.07131,7
1579,1458,E01001457,56490,8,EN2 6AR,7,51.652513,-0.087258,7
1580,1924,E01001905,76320,10,SW6 6AT,7,51.477441999999996,-0.209984,9
1581,394,E01000392,42070,3,DA161AA,7,51.462949,0.114474,3
1582,2192,E01002170,45050,4,HA3 8UE,7,51.590686,-0.308944,6
1583,1524,E01001524,51930,7,N14 4DT,7,51.642047,-0.130855,5
1584,273,E01000273,53970,7,N20 0HP,7,51.62869,-0.166572,6
1585,1496,E01001496,50290,6,N13 5AA,7,51.620981,-0.093597,6
1586,2300,E01002278,36710,1,RM3 7DR,7,51.608713,0.221534,2
1587,3354,E01003329,47900,5,SE264AS,7,51.430640000000004,-0.05826,4
1588,1335,E01001335,43760,4,UB2 4GW,7,51.496279,-0.365607,5
1589,4675,E01004622,57920,8,SW182TJ,7,51.452709000000006,-0.173602,4
1590,495,E01000493,54390,7,NW103AA,7,51.537268,-0.230075,7
1591,1907,E01001888,66400,9,SW6 6AR,7,51.481701,-0.22327399999999997,7
1592,388,E01000386,37610,1,DA145AB,7,51.414444,0.120736,2
1593,1527,E01001527,53190,7,N13 4DY,7,51.612716,-0.11733099999999999,6
1594,2221,E01002199,46430,5,HA3 8RL,7,51.597524,-0.31297800000000003,7
1595,3168,E01003140,46270,5,SW165BZ,7,51.414101,-0.13059,5
1596,3860,E01003819,47940,5,TW1 3EB,7,51.444897,-0.323602,3
1597,3438,E01003404,67460,9,SW193SU,7,51.418119,-0.21528000000000003,8
1598,3031,E01003003,47550,5,KT5 9PB,7,51.377943,-0.280427,7
1599,467,E01000466,40290,2,DA184AA,7,51.496327,0.14927200000000002,4
1600,1943,E01001924,87310,10,SW6 2AH,7,51.475714,-0.19172,8
1601,3429,E01003395,48400,6,CR4 2AP,7,51.413517999999996,-0.153421,7
1602,970,E01000969,79530,10,NW3 6DP,7,51.552593,-0.188385,8
1603,2194,E01002172,46490,5,HA3 8LP,7,51.589638,-0.321166,7
1604,1542,E01001542,47580,5,EN1 3BT,7,51.657002,-0.075257,5
1605,1157,E01001157,47760,5,CR4 8BB,7,51.408316,-0.10638099999999999,5
1606,84,E01000086,40220,2,RM109NX,7,51.536703,0.148447,2
1607,2347,E01002325,40320,2,RM5 2AR,7,51.597336999999996,0.157083,3
1608,3993,E01003954,63510,9,SE220BX,7,51.454245,-0.07293,6
1609,3985,E01003946,59900,9,SE191HD,7,51.425553,-0.081934,5
1610,4567,E01004511,73220,10,SW152QD,7,51.459195,-0.200463,8
1611,1420,E01001418,52570,7,EN4 0AP,7,51.647656,-0.14493399999999998,4
1612,4047,E01004015,59720,9,SE153HU,7,51.457983,-0.06402100000000001,4
1613,4791,E01004737,82750,10,SW1P4XT,7,51.489658,-0.131822,4
1614,2577,E01002556,42850,3,TW148DA,7,51.454133,-0.427526,5
1615,2976,E01002948,48770,6,KT187TR,7,51.337565000000005,-0.305641,5
1616,3682,E01003643,47100,5,IG2 6QP,7,51.578562,0.078588,7
1617,3777,E01003741,43550,4,IG118UA,7,51.546763,0.095311,5
1618,170,E01000170,50180,6,EN4 8AG,7,51.643739000000004,-0.166676,4
1619,2469,E01002446,43140,4,UB7 0AA,7,51.48946,-0.471425,5
1620,2154,E01002132,56440,8,HA1 3DG,7,51.573797,-0.34417600000000004,8
1621,431,E01000430,40440,2,DA184AD,7,51.476455,0.195702,5
1622,1268,E01001268,48270,6,UB6 8RB,7,51.531282,-0.35057699999999997,6
1623,1511,E01001511,46190,5,EN1 1AF,7,51.649533,-0.064544,4
